Rank,Player,Team,Mat,Inns,50s
1,Nicholas Pooran Lucknow Super,Giants,2,2,145
2,Sai Sudharsan Gujarat,Titans,2,2,137
3,Mitchell Marsh Lucknow Super,Giants,2,2,124
4,Ruturaj Gaikwad Chennai Super,Kings,3,3,116
5,Shreyas Iyer Punjab,Kings,1,1,97
6,Ashutosh Sharma Delhi,Capitals,1,1,66
7,Jos Buttler Gujarat,Titans,2,2,93
8,Virat Kohli Royal Challengers,Bengaluru,2,2,90
9,Phil Salt Royal Challengers,Bengaluru,2,2,88
10,Rajat Patidar Royal Challengers,Bengaluru,2,2,85
11,Faf du Plessis Delhi,Capitals,2,2,79
12,Travis Head Sunrisers,Hyderabad,3,3,136
13,Aniket Verma Sunrisers,Hyderabad,3,3,117
14,Rachin Ravindra Chennai Super,Kings,3,3,106
15,Dhruv Jurel Rajasthan,Royals,3,3,106
