Rank,Player,Team,Mat,Inns,Wkts,Avg
1,Nicholas Pooran Lucknow Super,Giants,2,2,145,75
2,Sai Sudharsan Gujarat,Titans,2,2,137,74
3,Travis Head Sunrisers,Hyderabad,3,3,136,67
4,Mitchell Marsh Lucknow Super,Giants,2,2,124,72
5,Aniket Verma Sunrisers,Hyderabad,3,3,117,74
6,Ruturaj Gaikwad Chennai Super,Kings,3,3,116,63
7,Ishan Kishan Sunrisers,Hyderabad,3,3,108,106
8,Dhruv Jurel Rajasthan,Royals,3,3,106,70
9,Rachin Ravindra Chennai Super,Kings,3,3,106,65
10,Suryakumar Yadav Mumbai,Indians,3,3,104,48
11,Quinton de Kock Kolkata Knight,Riders,3,3,102,97
12,Nitish Rana Rajasthan,Royals,3,3,100,81
13,Sanju Samson Rajasthan,Royals,3,3,99,66
14,Shreyas Iyer Punjab,Kings,1,1,97,97
15,Jos Buttler Gujarat,Titans,2,2,93,54
16,Ashwani Kumar Mumbai,Indians,1,3,0,24
17,Kuldeep Yadav Delhi,Capitals,2,8,0,42
18,Josh Hazlewood Royal Challengers,Bengaluru,2,8,0,43
19,Shardul Thakur Lucknow Super,Giants,2,6,0,53
20,Noor Ahmad Chennai Super,Kings,3,12,0,82
21,Moeen Ali Kolkata Knight,Riders,1,4,0,23
22,Hardik Pandya Mumbai,Indians,2,6,0,39
23,Vignesh Puthur Mumbai,Indians,2,6,0,53
24,Wanindu Hasaranga Rajasthan,Royals,2,7,0,69
25,Zeeshan Ansari Sunrisers,Hyderabad,1,4,0,42
26,Yash Dayal Royal Challengers,Bengaluru,2,6,0,43
27,Khaleel Ahmed Chennai Super,Kings,3,12,0,95
28,Matheesha Pathirana Chennai Super,Kings,2,8,0,64
29,Sai Kishore Gujarat,Titans,2,8,0,67
