Rank,Player,Team,Mat,Inns,Overs,Econ
1,Nicholas Pooran Lucknow Super,Giants,2,2,145,75
2,Sai Sudharsan Gujarat,Titans,2,2,137,74
3,Travis Head Sunrisers,Hyderabad,3,3,136,67
4,Mitchell Marsh Lucknow Super,Giants,2,2,124,72
5,Aniket Verma Sunrisers,Hyderabad,3,3,117,74
6,Ruturaj Gaikwad Chennai Super,Kings,3,3,116,63
7,Ishan Kishan Sunrisers,Hyderabad,3,3,108,106
8,Dhruv Jurel Rajasthan,Royals,3,3,106,70
9,Rachin Ravindra Chennai Super,Kings,3,3,106,65
10,Suryakumar Yadav Mumbai,Indians,3,3,104,48
11,Quinton de Kock Kolkata Knight,Riders,3,3,102,97
12,Nitish Rana Rajasthan,Royals,3,3,100,81
13,Sanju Samson Rajasthan,Royals,3,3,99,66
14,Shreyas Iyer Punjab,Kings,1,1,97,97
15,Jos Buttler Gujarat,Titans,2,2,93,54
16,Naman Dhir Mumbai,Indians,3,3,0,12
17,Kuldeep Yadav Delhi,Capitals,2,8,0,42
18,Josh Hazlewood Royal Challengers,Bengaluru,2,8,0,43
19,Moeen Ali Kolkata Knight,Riders,1,4,0,23
20,Riyan Parag Rajasthan,Royals,3,4,0,25
21,Hardik Pandya Mumbai,Indians,2,6,0,39
22,Varun Chakaravarthy Kolkata Knight,Riders,3,11,0,72
23,Bhuvneshwar Kumar Royal Challengers,Bengaluru,1,3,0,20
24,Noor Ahmad Chennai Super,Kings,3,12,0,82
25,Liam Livingstone Royal Challengers,Bengaluru,2,6,0,42
26,Yash Dayal Royal Challengers,Bengaluru,2,6,0,43
27,Trent Boult Mumbai,Indians,3,11,0,84
28,Khaleel Ahmed Chennai Super,Kings,3,12,0,95
29,Ashwani Kumar Mumbai,Indians,1,3,0,24
