POS,,TEAM,P,W,L,NR,NRR,FOR,AGAINST,PTS,RECENT FORM
1,,RCB,2,2,0,0,2.266,373/36.2,320/40.0,4,WW
2,,PBKS,2,2,0,0,1.485,420/36.2,403/40.0,4,WW
3,,DC,2,2,0,0,1.320,377/35.3,372/40.0,4,WW
4,,GT,2,1,1,0,0.625,428/40.0,403/40.0,2,WL
5,,MI,3,1,2,0,0.309,436/52.5,470/59.1,2,WLL
6,,LSG,3,1,2,0,-0.150,573/56.1,578/55.5,2,LWL
7,,CSK,3,1,2,0,-0.771,480/59.1,533/60.0,2,LLW
8,,SRH,3,1,2,0,-0.871,639/60.0,601/52.1,2,LLW
9,,RR,3,1,2,0,-1.112,575/60.0,615/57.3,2,WLL
10,,KKR,3,1,2,0,-1.428,443/57.3,449/49.1,2,LWL
