title,url,date,summary
"IPL 2025, RR vs CSK Highlights: Wanindu Hasaranga stars with 4 wickets as Rajasthan Royals defeat Chennai Super Kings by 6 runs",https://indianexpress.com/article/sports/cricket/ipl-2025-rr-vs-csk-live-cricket-score-online-updates-rajasthan-royals-vs-chennai-super-kings-guwahati-scorecard-9913987/,,"IPL 2025, RR vs CSK Highlights: Wanindu Hasaranga stars with 4 wickets as Rajasthan Royals defeat Chennai Super Kings by 6 runs"
RR vs CSK: Where to Watch Rajasthan Royals vs Chennai Super Kings Match?,https://indianexpress.com/article/sports/cricket/rr-vs-csk-live-cricket-score-streaming-online-ipl-2025-9913528/,,RR vs CSK: Where to Watch Rajasthan Royals vs Chennai Super Kings Match?
RR vs CSK: Rajasthan Royals vs Chennai Super Kings impact subs and full squads,https://indianexpress.com/article/sports/cricket/rr-vs-csk-predicted-playing-11-ipl-2025-players-list-rajasthan-royals-chennai-super-kings-9913643/,,RR vs CSK: Rajasthan Royals vs Chennai Super Kings impact subs and full squads
RR vs CSK: What to expect in the Rajasthan Royals vs Chennai Super Kings game,https://indianexpress.com/article/sports/ipl/ipl-2025-rr-vs-csk-pitch-weather-guwahati-barsapara-rajasthan-royals-vs-chennai-super-kings-match-9914063/,,RR vs CSK: What to expect in the Rajasthan Royals vs Chennai Super Kings game
Cheteshwar Pujara says Chennai Super Kings middle order does not look ‘completely ready’ after loss to Royal Challengers Bengaluru,https://indianexpress.com/article/sports/ipl/cheteshwar-pujara-csk-middle-order-not-ready-rcb-loss-9913248/,,Cheteshwar Pujara says Chennai Super Kings middle order does not look ‘completely ready’ after loss to Royal Challengers Bengaluru
Rajasthan Royals ring more alarm bells for Chennai Super Kings,https://indianexpress.com/article/sports/ipl/rajasthan-royals-ring-more-alarm-bells-for-chennai-super-kings-9915181/,,Rajasthan Royals ring more alarm bells for Chennai Super Kings
RR vs CSK: Jofra Archer bowls first maiden over of IPL 2025,https://indianexpress.com/article/sports/ipl/rr-vs-csk-jofra-archer-bowls-first-maiden-over-of-2025-9915036/,,RR vs CSK: Jofra Archer bowls first maiden over of IPL 2025
‘Dhoni can’t bat ten overs running full stick’: CSK coach Stephen Fleming explains star’s batting order arrivals,https://indianexpress.com/article/sports/ipl/dhoni-cant-bat-ten-overs-running-full-stick-csk-coach-stephen-fleming-9915539/,,‘Dhoni can’t bat ten overs running full stick’: CSK coach Stephen Fleming explains star’s batting order arrivals
There’s no home advantage at Chepauk: CSK coach Stephen Fleming after defeat to RCB,https://indianexpress.com/article/sports/ipl/chennai-no-home-advantage-fleming-csk-vs-rcb-ipl-2025-9912968/,,There’s no home advantage at Chepauk: CSK coach Stephen Fleming after defeat to RCB
Ambati Rayudu: ‘Some of CSK’s mistakes were quite painful to watch’ against Rajasthan Royals,https://indianexpress.com/article/sports/ipl/ambati-rayudu-csk-mistakes-quite-painful-watch-rajasthan-royals-9915658/,,Ambati Rayudu: ‘Some of CSK’s mistakes were quite painful to watch’ against Rajasthan Royals
"Cheteshwar Pujara surprised with Stephen Fleming’s comments on Chepauk, says CSK always made pitches according to their strengths",https://indianexpress.com/article/sports/ipl/cheteshwar-pujara-surprsed-csk-pitch-controversy-fleming-chepauk-9913208/,,"Cheteshwar Pujara surprised with Stephen Fleming’s comments on Chepauk, says CSK always made pitches according to their strengths"
