name,role,nationality,stats
MS Dhoni,Wicket-keeper,Indian,{}
Ruturaj Gaikwad,Batsman,Indian,{}
Ravindra Jadeja,All-rounder,Overseas,{}
Ajinkya Rahane,Batsman,Indian,{}
Deepak Chahar,Bowler,Indian,{}
Moeen Ali,Batsman,Overseas,{}
Shivam Dube,Batsman,Indian,{}
Mitchell Santner,Batsman,Overseas,{}
Devon Conway,Batsman,Overseas,{}
Maheesh Theekshana,Batsman,Overseas,{}
Rachin Ravindra,Batsman,Overseas,{}
Shardul Thakur,Batsman,Indian,{}
Daryl Mitchell,Batsman,Overseas,{}
Mustafizur Rahman,Batsman,Overseas,{}
Sameer Rizvi,Batsman,,{}
Shaik Rasheed,Batsman,,{}
Ajay Mandal,All-Rounder,,{}
Nishant Sindhu,All-Rounder,,{}
Aravelly Avanish,,,{}
Mukesh Choudhary,Bowler,,{}
Prashant Solanki,Bowler,,{}
Rajvardhan Hangargekar,Bowler,,{}
Richard Gleeson,Bowler,,{}
Simarjeet Singh,Bowler,,{}
Tushar Deshpande,Bowler,,{}
