name,role,nationality,stats
Rishabh Pant,Wicket-keeper,Indian,{}
David Warner,Batsman,Overseas,{}
Axar Patel,All-rounder,Indian,{}
Kuldeep Yadav,Batsman,Indian,{}
Anrich Nortje,Bowler,Overseas,{}
Mitchell Marsh,Batsman,Overseas,{}
Khaleel Ahmed,Batsman,Indian,{}
Mukesh Kumar,Batsman,Indian,{}
Prithvi Shaw,Batsman,,{}
Swastik Chikara,Batsman,,{}
Yash Dhull,Batsman,,{}
Gulbadin Naib,All-Rounder,,{}
Jake Fraser-McGurk,All-Rounder,,{}
Lalit Yadav,All-Rounder,,{}
Sumit Kumar,All-Rounder,,{}
Abishek Porel,,,{}
Kumar Kushagra,,,{}
Ricky Bhui,,,{}
Shai Hope,,,{}
Tristan Stubbs,,,{}
Ishant Sharma,Bowler,,{}
Jhye Richardson,Bowler,,{}
Lizaad Williams,Bowler,,{}
Pravin Dubey,Bowler,,{}
Rasikh Salam,Bowler,,{}
Vicky Ostwal,Bowler,,{}
