title,url,date,summary
"RCB vs GT, IPL 2025: Shubman Gill win coin flip vs Rajat Patidar; Gujarat Titans bowl first vs Royal Challengers Bengaluru",https://indianexpress.com/article/sports/ipl/rcb-vs-gt-2025-toss-coin-updates-live-score-royal-challengers-bengaluru-gujarat-titans-chinnaswamy-stadium-9919530/,,"RCB vs GT, IPL 2025: Shubman Gill win coin flip vs Rajat Patidar; Gujarat Titans bowl first vs Royal Challengers Bengaluru"
"IPL 2025, RCB vs GT Highlights: Gujarat Titans beat Royal Challengers Bengaluru by 8-wickets",https://indianexpress.com/article/sports/cricket/live-cricket-score-ipl-2025-rcb-vs-gt-live-score-today-match-royal-challengers-bengaluru-vs-gujarat-titans-rajat-patidar-vs-shubman-gill-9918981/,,"IPL 2025, RCB vs GT Highlights: Gujarat Titans beat Royal Challengers Bengaluru by 8-wickets"
"RCB vs GT: Players list, Royal Challengers Bengaluru vs Gujarat Titans, Impact Sub and Full Squads",https://indianexpress.com/article/sports/ipl/ipl-2025-rcb-vs-gt-playing-11-dream11-team-prediction-today-match-impact-player-full-squad-players-list-9919007/,,"RCB vs GT: Players list, Royal Challengers Bengaluru vs Gujarat Titans, Impact Sub and Full Squads"
"IPL 2025, GT vs MI Highlights: Gujarat Titans beat Mumbai Indians by 36 runs in Ahmedabad",https://indianexpress.com/article/sports/cricket/gt-vs-mi-live-cricket-score-ipl-2025-live-score-today-match-gujarat-titans-vs-mumbai-indians-live-cricket-scorecard-updates-9913110/,,"IPL 2025, GT vs MI Highlights: Gujarat Titans beat Mumbai Indians by 36 runs in Ahmedabad"
GT vs MI IPL 2025: Where to Watch Gujarat Titans vs Mumbai Indians Match?,https://indianexpress.com/article/sports/ipl/ipl-2025-gt-vs-mi-live-cricket-score-streaming-online-where-to-watch-gujarat-titans-vs-mumbai-indians-match-live-free-9911191/,,GT vs MI IPL 2025: Where to Watch Gujarat Titans vs Mumbai Indians Match?
"GT vs MI Predicted Playing 11, IPL 2025: Players list, Gujarat Titans vs Mumbai Indians impact subs and full squads",https://indianexpress.com/article/sports/ipl/gt-vs-mi-predicted-playing-11-ipl-2025-players-list-gujarat-titans-mumbai-indians-9911185/,,"GT vs MI Predicted Playing 11, IPL 2025: Players list, Gujarat Titans vs Mumbai Indians impact subs and full squads"
‘A different approach’: Kane Williamson breaks down one mistake that cost RCB match vs Gujarat Titans,https://indianexpress.com/article/sports/ipl/kane-williamson-one-mistake-that-cost-rcb-vs-gujarat-titans-9921910/,,‘A different approach’: Kane Williamson breaks down one mistake that cost RCB match vs Gujarat Titans
IPL 2025: When and Where to Watch Royal Challengers Bangalore vs Gujarat Titans Match?,https://indianexpress.com/article/sports/cricket/ipl-2025-match-14-rcb-vs-gt-live-cricket-streaming-online-when-and-where-to-watch-royal-challengers-bangalore-vs-gujarat-titans-match-9919025/,,IPL 2025: When and Where to Watch Royal Challengers Bangalore vs Gujarat Titans Match?
"IPL 2025, RCB vs GT: Run-fest expected at Bengaluru",https://indianexpress.com/article/sports/ipl/ipl-2025-rcb-vs-gt-chinnaswamy-bengaluru-pitch-report-weather-9919593/,,"IPL 2025, RCB vs GT: Run-fest expected at Bengaluru"
"Prasidh Krishna, Sai Sudharsan sparkle as Gujarat Titans roll over Mumbai Indians on black-soil Ahmedabad pitch",https://indianexpress.com/article/sports/ipl/prasidh-krishna-sai-sudharsan-gujarat-titans-mumbai-indians-9913610/,,"Prasidh Krishna, Sai Sudharsan sparkle as Gujarat Titans roll over Mumbai Indians on black-soil Ahmedabad pitch"
