name,role,nationality,stats
Shubman Gill,Batsman,Indian,{}
Mohammed Shami,Bowler,Indian,{}
Rashid Khan,Batsman,Overseas,{}
Sai Sudharsan,Batsman,Indian,{}
Wriddhiman Saha,Batsman,Indian,{}
David Miller,Batsman,Overseas,{}
Rahul Tewatia,Wicket-keeper,Indian,{}
Mohit Sharma,Batsman,Indian,{}
Abhinav Manohar,Batsman,,{}
Kane Williamson,Batsman,,{}
Azmatullah Omarzai,All-Rounder,,{}
Shahrukh Khan,All-Rounder,,{}
Vijay Shankar,All-Rounder,,{}
BR Sharath,,,{}
Matthew Wade,,,{}
Darshan Nalkande,Bowler,,{}
Gurnoor Brar,Bowler,,{}
Jayant Yadav,Bowler,,{}
Josh Little,Bowler,,{}
Kartik Tyagi,Bowler,,{}
Manav Suthar,Bowler,,{}
Noor Ahmad,Bowler,,{}
Sai Kishore,Bowler,,{}
Sandeep Warrier,Bowler,,{}
Spencer Johnson,Bowler,,{}
Umesh Yadav,Bowler,,{}
