name,role,nationality,stats
Shreyas Iyer,Batsman,Indian,{}
Andre Russell,All-rounder,Overseas,{}
Sunil Narine,All-rounder,Overseas,{}
Venkatesh Iyer,Batsman,Indian,{}
Rinku Singh,Batsman,Indian,{}
Varun Chakravarthy,Batsman,Indian,{}
Mitchell Starc,Bowler,Overseas,{}
Rahmanullah Gurbaz,Batsman,Overseas,{}
Angkrish Raghuvanshi,Batsman,,{}
Manish Pandey,Batsman,,{}
Nitish Rana,Batsman,,{}
Sherfane Rutherford,Batsman,,{}
Anukul Roy,All-Rounder,,{}
Ramandeep Singh,All-Rounder,,{}
KS Bharat,,,{}
AM Ghazanfar,Bowler,,{}
Chetan Sakariya,Bowler,,{}
Dushmantha Chameera,Bowler,,{}
Harshit Rana,Bowler,,{}
Sakib Hussain,Bowler,,{}
Suyash Sharma,Bowler,,{}
Vaibhav Arora,Bowler,,{}
Varun Chakaravarthy,Bowler,,{}
