name,role,nationality,stats
KL Rahul,Wicket-keeper,Indian,{}
Nicholas Pooran,Batsman,Overseas,{}
Ravi Bishnoi,Batsman,Indian,{}
Mohsin Khan,Batsman,Indian,{}
Krunal Pandya,All-rounder,Indian,{}
Marcus Stoinis,All-rounder,Indian,{}
Mayank Yadav,Batsman,Indian,{}
Quinton de Kock,Wicket-keeper,Overseas,{}
Ayush Badoni,Batsman,,{}
Devdutt Padikkal,Batsman,,{}
Arshin Kulkarni,All-Rounder,,{}
Ashton Turner,All-Rounder,,{}
Deepak Hooda,All-Rounder,,{}
Krishnappa Gowtham,All-Rounder,,{}
Kyle Mayers,All-Rounder,,{}
Prerak Mankad,All-Rounder,,{}
Yudhvir Singh,All-Rounder,,{}
Quinton De Kock,,,{}
Amit Mishra,Bowler,,{}
Arshad Khan,Bowler,,{}
M. Siddharth,Bowler,,{}
Matt Henry,Bowler,,{}
Shamar Joseph,Bowler,,{}
Yash Thakur,Bowler,,{}
