name,role,nationality,stats
Rohit Sharma,Batsman,Indian,{}
Jasprit Bumrah,Bowler,Indian,{}
Hardik Pandya,All-rounder,Indian,{}
Suryakumar Yadav,Batsman,Indian,{}
Ishan Kishan,Wicket-keeper,Indian,{}
Tilak Varma,Batsman,Indian,{}
Tim David,Batsman,Overseas,{}
Jofra Archer,Batsman,Overseas,{}
Anshul Kamboj,All-Rounder,,{}
Dewald Brevis,All-Rounder,,{}
Gerald Coetzee,All-Rounder,,{}
Mohammad Nabi,All-Rounder,,{}
Naman Dhir,All-Rounder,,{}
Nehal Wadhera,All-Rounder,,{}
Romario Shepherd,All-Rounder,,{}
Shams Mulani,All-Rounder,,{}
Shivalik Sharma,All-Rounder,,{}
Harvik Desai,,,{}
Akash Madhwal,Bowler,,{}
Arjun Tendulkar,Bowler,,{}
Kumar Kartikeya,Bowler,,{}
Kwena Maphaka,Bowler,,{}
Luke Wood,Bowler,,{}
Nuwan Thushara,Bowler,,{}
Piyush Chawla,Bowler,,{}
Shreyas Gopal,Bowler,,{}
