title,url,date,summary
"IPL 2025, LSG vs PBKS Highlights: Prabhsimran Singh, Shreyas Iyer and Nehal Wadhera guide Punjab to 8-wicket win over Lucknow",https://indianexpress.com/article/sports/cricket/lsg-vs-pbks-live-score-ipl-2025-live-cricket-score-online-today-match-lucknow-super-giants-vs-punjab-kings-rishabh-pant-shreyas-iyer-9916902/,,"IPL 2025, LSG vs PBKS Highlights: Prabhsimran Singh, Shreyas Iyer and Nehal Wadhera guide Punjab to 8-wicket win over Lucknow"
Who Won Yesterday’s IPL Match?: Punjab Kings hand Lucknow Super Giants a home defeat at Lucknow,https://indianexpress.com/article/sports/ipl/who-won-yesterday-ipl-match-punjab-kings-vs-lucknow-super-giants-9919345/,,Who Won Yesterday’s IPL Match?: Punjab Kings hand Lucknow Super Giants a home defeat at Lucknow
IPL 2025: Punjab Kings show swagger with all-round display against lacklustre Lucknow Super Giants,https://indianexpress.com/article/sports/ipl/punjab-kings-all-round-display-lacklustre-lucknow-super-giants-9919009/,,IPL 2025: Punjab Kings show swagger with all-round display against lacklustre Lucknow Super Giants
IPL 2025: When and Where to watch Lucknow Super Giants vs Punjab Kings Match?,https://indianexpress.com/article/sports/cricket/lsg-vs-pbks-ipl-2025-live-cricket-score-streaming-online-9916789/,,IPL 2025: When and Where to watch Lucknow Super Giants vs Punjab Kings Match?
"IPL 2025, LSG vs PBKS: Here’s what to expect from pitch and weather in Lucknow",https://indianexpress.com/article/sports/ipl/ipl-2025-lsg-vs-pbks-ekana-stadium-pitch-report-weather-lucknow-today-9917547/,,"IPL 2025, LSG vs PBKS: Here’s what to expect from pitch and weather in Lucknow"
‘Batsmen do not trust their defence much nowadays’: Punjab Kings Arshdeep Singh on his bowling plans,https://indianexpress.com/article/sports/ipl/arshdeep-singh-punjab-kings-bowling-plans-ipl-lsg-batter-defence-9919760/,,‘Batsmen do not trust their defence much nowadays’: Punjab Kings Arshdeep Singh on his bowling plans
IPL LSG vs PBKS Live Streaming,https://indianexpress.com/article/sports/cricket/lsg-vs-pbks-ipl-2025-live-cricket-score-streaming-online-9916789/,,
‘Rolls-Royce just stayed in third gear’: PBKS coach Ricky Ponting on skipper Shreyas Iyer’s half century vs LSG,https://indianexpress.com/article/sports/ipl/rolls-royce-ricky-ponting-shreyas-iyer-knock-pbks-vs-lsg-9920072/,,‘Rolls-Royce just stayed in third gear’: PBKS coach Ricky Ponting on skipper Shreyas Iyer’s half century vs LSG
‘Tension toh auction mein hi khatam ho gayi thi’: PBKS remind Rishabh Pant about joke after IPL 2025 auction,https://indianexpress.com/article/sports/ipl/pbks-remind-rishabh-pant-joke-tension-ipl-2025-auction-9919533/,,‘Tension toh auction mein hi khatam ho gayi thi’: PBKS remind Rishabh Pant about joke after IPL 2025 auction
"IPL 2025: How PBKS’ Priyansh Arya, who has impressed Ricky Ponting, made a strong start to life in IPL",https://indianexpress.com/article/sports/ipl/priyansh-arya-strong-impression-punjab-kings-debut-gujarat-9907851/,,"IPL 2025: How PBKS’ Priyansh Arya, who has impressed Ricky Ponting, made a strong start to life in IPL"
LSG vs PBKS Live Score,https://indianexpress.com/article/sports/cricket/lsg-vs-pbks-live-score-ipl-2025-live-cricket-score-online-today-match-lucknow-super-giants-vs-punjab-kings-rishabh-pant-shreyas-iyer-9916902/,,
