name,role,nationality,stats
Arshdeep Singh,Batsman,Indian,{}
Liam Livingstone,Batsman,Overseas,{}
Shikhar Dhawan,Batsman,Indian,{}
Kagiso Rabada,Bowler,Overseas,{}
Jitesh Sharma,Batsman,Indian,{}
Sam Curran,Batsman,Indian,{}
Rilee Rossouw,Batsman,Indian,{}
Harshal Patel,Batsman,Indian,{}
Ashutosh Sharma,Batsman,,{}
Atharva Taide,Batsman,,{}
Harpreet Singh,Batsman,,{}
Shashank Singh,Batsman,,{}
Shivam Singh,Batsman,,{}
Vishwanath Singh,Batsman,,{}
Chris Woakes,All-Rounder,,{}
Rishi Dhawan,All-Rounder,,{}
Sikandar Raza,All-Rounder,,{}
Tanay Thyagarajan,All-Rounder,,{}
Prabhsimran Singh,,,{}
Harpreet Brar,Bowler,,{}
Nathan Ellis,Bowler,,{}
Prince Choudhary,Bowler,,{}
Rahul Chahar,Bowler,,{}
Vidwath Kaverappa,Bowler,,{}
