name,role,nationality,stats
Sanju Samson,Wicket-keeper,Indian,{}
Shimron Hetmyer,Batsman,Indian,{}
Yashasvi Jaiswal,Batsman,Indian,{}
Trent Boult,Bowler,Overseas,{}
Ravichandran Ashwin,All-rounder,Indian,{}
Yuzvendra Chahal,Bowler,Indian,{}
Jos Buttler,Batsman,Overseas,{}
Dhruv Jurel,Batsman,Indian,{}
Kunal Singh Rathore,Batsman,,{}
Shubham Dubey,Batsman,,{}
Keshav Maharaj,All-Rounder,,{}
Riyan Parag,All-Rounder,,{}
Rovman Powell,All-Rounder,,{}
Donovan Ferreira,,,{}
Tom Kohler-Cadmore,,,{}
Abid Mushtaq,Bowler,,{}
Avesh Khan,Bowler,,{}
Kuldeep Sen,Bowler,,{}
Nandre Burger,Bowler,,{}
Navdeep Saini,Bowler,,{}
Sandeep Sharma,Bowler,,{}
Tanush Kotian,Bowler,,{}
