title,url,date,summary
CSK vs RCB IPL 2025: When and Where to Watch Chennai Super Kings vs Royal Challengers Bengaluru Match?,https://indianexpress.com/article/sports/cricket/ipl-2025-csk-vs-rcb-live-cricket-score-streaming-online-9910091/,,CSK vs RCB IPL 2025: When and Where to Watch Chennai Super Kings vs Royal Challengers Bengaluru Match?
CSK vs RCB Highlights: Royal Challengers Bengaluru defeat Chennai Super Kings by 50 runs,https://indianexpress.com/article/sports/cricket/ipl-2025-csk-vs-rcb-live-cricket-score-online-updates-chennai-super-kings-vs-royal-challengers-bengaluru-ma-chidambaram-stadium-scorecard-9910142/,,CSK vs RCB Highlights: Royal Challengers Bengaluru defeat Chennai Super Kings by 50 runs
"IPL 2025, CSK vs RCB: Can Chennai trap Bengaluru in spin web again?",https://indianexpress.com/article/sports/ipl/ipl-2025-csk-vs-rcb-ma-chidambaram-stadium-pitch-report-chennai-weather-update-9910646/,,"IPL 2025, CSK vs RCB: Can Chennai trap Bengaluru in spin web again?"
Cheteshwar Pujara says Chennai Super Kings middle order does not look ‘completely ready’ after loss to Royal Challengers Bengaluru,https://indianexpress.com/article/sports/ipl/cheteshwar-pujara-csk-middle-order-not-ready-rcb-loss-9913248/,,Cheteshwar Pujara says Chennai Super Kings middle order does not look ‘completely ready’ after loss to Royal Challengers Bengaluru
‘He should have batted ahead of Ashwin’: Shane Watson on MS Dhoni coming out at No. 9 vs RCB,https://indianexpress.com/article/sports/ipl/shane-watson-ms-dhoni-batting-order-promotion-csk-rcb-9913401/,,‘He should have batted ahead of Ashwin’: Shane Watson on MS Dhoni coming out at No. 9 vs RCB
‘One more shot’: Dinesh Karthik heaps praise on Virat Kohli’s work ethic ahead of CSK vs RCB IPL 2025 match,https://indianexpress.com/article/sports/ipl/virat-kohli-work-ethic-spin-batting-rcb-ipl-2025-dinesh-karthik-9910568/,,‘One more shot’: Dinesh Karthik heaps praise on Virat Kohli’s work ethic ahead of CSK vs RCB IPL 2025 match
‘I’ve never seen a situation like this’: AB de Villiers on ‘crazy’ RCB schedule in IPL 2025,https://indianexpress.com/article/sports/ipl/ab-de-villiers-on-crazy-rcb-schedule-in-ipl-2025-9913337/,,‘I’ve never seen a situation like this’: AB de Villiers on ‘crazy’ RCB schedule in IPL 2025
‘Balance of RCB squad 10 times better compared to previous seasons’: AB de Villiers,https://indianexpress.com/article/sports/ipl/ab-de-villiers-rcb-squad-balance-10-times-better-ipl-2025-9913314/,,‘Balance of RCB squad 10 times better compared to previous seasons’: AB de Villiers
"IPL 2025: RCB end 17-year wait to win in Chennai, thrash CSK by 50 runs",https://indianexpress.com/article/sports/ipl/ipl-2025-rcb-end-17-year-wait-to-win-in-chennai-thrash-csk-by-50-runs-9912106/,,"IPL 2025: RCB end 17-year wait to win in Chennai, thrash CSK by 50 runs"
‘Lost by just 50 runs’: Ruturaj Gaikwad downplays magnitude of CSK’s first home defeat to RCB in 17 years,https://indianexpress.com/article/sports/ipl/50-runs-lost-ruturaj-gaikwad-on-csk-vs-rcb-ipl-2025-defeat-chepauk-9912521/,,‘Lost by just 50 runs’: Ruturaj Gaikwad downplays magnitude of CSK’s first home defeat to RCB in 17 years
