name,role,nationality,stats
Virat Kohli,Batsman,Indian,{}
Faf du Plessis,Batsman,Overseas,{}
Glenn Maxwell,All-rounder,Indian,{}
Mohammed Siraj,Bowler,Indian,{}
Rajat Patidar,Batsman,Indian,{}
Dinesh Karthik,Batsman,Indian,{}
Cameron Green,Batsman,Indian,{}
Wanindu Hasaranga,Batsman,Indian,{}
Faf Du Plessis,Batsman,,{}
Saurav Chauhan,Batsman,,{}
Suyash Prabhudessai,Batsman,,{}
Mahipal Lomror,All-Rounder,,{}
Manoj Bhandage,All-Rounder,,{}
Mayank Dagar,All-Rounder,,{}
Swapnil Singh,All-Rounder,,{}
Tom Curran,All-Rounder,,{}
Anuj Rawat,,,{}
Akash Deep,Bowler,,{}
Alzarri Joseph,Bowler,,{}
Himanshu Sharma,Bowler,,{}
Karn Sharma,Bowler,,{}
Lockie Ferguson,Bowler,,{}
Rajan Kumar,Bowler,,{}
Vijaykumar Vyshak,Bowler,,{}
Yash Dayal,Bowler,,{}
