title,url,date,summary
DC vs SRH: Where to Watch Delhi Capitals vs Sunrisers Hyderabad Match?,https://indianexpress.com/article/sports/cricket/dc-vs-srh-live-cricket-score-streaming-online-ipl-2025-9913491/,,DC vs SRH: Where to Watch Delhi Capitals vs Sunrisers Hyderabad Match?
DC vs SRH: Delhi Capitals vs Sunrisers Hyderabad impact subs and full squads,https://indianexpress.com/article/sports/cricket/dc-vs-srh-predicted-playing-11-ipl-2025-players-list-delhi-capitals-sunrisers-hyderabad-9913567/,,DC vs SRH: Delhi Capitals vs Sunrisers Hyderabad impact subs and full squads
DC vs SRH: What to expect in the Delhi Capitals vs Sunrisers Hyderabad game,https://indianexpress.com/article/sports/ipl/ipl-2025-dc-vs-srh-pitch-weather-visakhapatnam-delhi-vs-hyderabad-9913940/,,DC vs SRH: What to expect in the Delhi Capitals vs Sunrisers Hyderabad game
SRH vs LSG Highlights: Nicholas Pooran and Mitchell Marsh star as Lucknow defeat Hyderabad by 5 wickets,https://indianexpress.com/article/sports/cricket/ipl-2025-srh-vs-lsg-live-cricket-score-online-updates-sunrisers-hyderabad-vs-lucknow-super-giants-rajiv-gandhi-international-stadium-scorecard-9907993/,,SRH vs LSG Highlights: Nicholas Pooran and Mitchell Marsh star as Lucknow defeat Hyderabad by 5 wickets
"IPL 2025: Sunrisers Hyderabad’s batting quietened again as Mitch Starc, Faf du Plessis fire Delhi Capitals to big win",https://indianexpress.com/article/sports/ipl/ipl-2025-srh-vs-dc-faf-du-plessis-mitchell-starc-9914936/,,"IPL 2025: Sunrisers Hyderabad’s batting quietened again as Mitch Starc, Faf du Plessis fire Delhi Capitals to big win"
IPL 2025 : ‘Every team in IPL could lose….’ : What Sunrisers Hyderabad coach Vettori told the team post the loss against Super Giants,https://indianexpress.com/article/sports/ipl/ipl-2025-every-team-in-ipl-could-lose-what-sunrisers-hyderabad-coach-vettori-told-the-team-post-the-loss-against-super-giants-9911662/,,IPL 2025 : ‘Every team in IPL could lose….’ : What Sunrisers Hyderabad coach Vettori told the team post the loss against Super Giants
"IPL 2025: ‘Zampa has been destroyed, Shami has gone at….’: Vaughan on Sunrisers Hyderabad’s bowling struggles",https://indianexpress.com/article/sports/ipl/ipl-2025-zampa-has-been-destroyed-shami-has-gone-at-vaughan-on-sunrisers-hyderabads-bowling-struggles-9911473/,,"IPL 2025: ‘Zampa has been destroyed, Shami has gone at….’: Vaughan on Sunrisers Hyderabad’s bowling struggles"
IPL 2025 | Aniket Verma: one more big hitter added to Sunrisers Hyderabad arsenal,https://indianexpress.com/article/sports/ipl/ipl-2025-who-is-aniket-verma-sunrisers-hyderabad-big-hitter-9910018/,,IPL 2025 | Aniket Verma: one more big hitter added to Sunrisers Hyderabad arsenal
"Who is Zeeshan Ansari, former India U19 WC spinner who picked three wickets on IPL debut during SRH vs DC in IPL 2025?",https://indianexpress.com/article/sports/ipl/who-is-zeeshan-ansari-former-india-u19-world-cup-spinner-ipl-debut-srh-vs-dc-ipl-2025-9914441/,,"Who is Zeeshan Ansari, former India U19 WC spinner who picked three wickets on IPL debut during SRH vs DC in IPL 2025?"
"IPL 2025, DC vs SRH Highlights: Mitch Starc, Faf Du Plessis star in big win for Delhi Capitals to end Vizag leg",https://indianexpress.com/article/sports/cricket/ipl-2025-dc-vs-srh-live-cricket-score-online-updates-delhi-capitals-vs-sunrisers-hyderabad-dr-y-s-rajasekhara-reddy-aca-vdca-cricket-stadium-scorecard-9913677/,,"IPL 2025, DC vs SRH Highlights: Mitch Starc, Faf Du Plessis star in big win for Delhi Capitals to end Vizag leg"
SRH vs LSG: Shardul Thakur shines with ball and Nicholas Pooran closes out with bat,https://indianexpress.com/article/sports/ipl/srh-vs-lsg-shardul-thakur-4-wickets-nicholas-pooran-bat-9910051/,,SRH vs LSG: Shardul Thakur shines with ball and Nicholas Pooran closes out with bat
IPL: SRH claim Hyderabad Cricket Association intimidated and blackmailed them for complimentary tickets,https://indianexpress.com/article/sports/ipl/ipl-srh-claim-hca-intimidated-and-blackmailed-them-for-complimentary-tickets-9914753/,,IPL: SRH claim Hyderabad Cricket Association intimidated and blackmailed them for complimentary tickets
