name,role,nationality,stats
Pat Cummins,Batsman,Overseas,{}
Heinrich Klaasen,Batsman,Indian,{}
Abhishek Sharma,Batsman,Indian,{}
Aiden Markram,Batsman,Indian,{}
Rahul Tripathi,Wicket-keeper,Indian,{}
Washington Sundar,Batsman,Indian,{}
Umran Malik,Batsman,Indian,{}
Travis Head,Batsman,Indian,{}
Abdul Samad,Batsman,,{}
Anmolpreet Singh,Batsman,,{}
Mayank Agarwal,Batsman,,{}
Glenn Phillips,All-Rounder,,{}
Marco Jansen,All-Rounder,,{}
Nitish Kumar Reddy,All-Rounder,,{}
Sanvir Singh,All-Rounder,,{}
Shahbaz Ahmed,All-Rounder,,{}
Upendra Yadav,,,{}
Akash Singh,Bowler,,{}
Bhuvneshwar Kumar,Bowler,,{}
Fazalhaq Farooqi,Bowler,,{}
Jaydev Unadkat,Bowler,,{}
Jhatavedh Subramanyan,Bowler,,{}
Mayank Markande,Bowler,,{}
T Natarajan,Bowler,,{}
Vijayakanth Viyaskanth,Bowler,,{}
