city,state,current_temp,current_condition,humidity,wind_speed,forecast,last_updated
Bengaluru,Karnataka,"Error: 401 Client Error: Unauthorized for url: https://api.openweathermap.org/data/2.5/weather?q=Bengaluru,Karnataka,India&appid=fcb46ca9c388ddcaf1ed48e804525f52&units=metric",Error,Error,Error,Error,2025-03-31
Mumbai,Maharashtra,"Error: 401 Client Error: Unauthorized for url: https://api.openweathermap.org/data/2.5/weather?q=Mumbai,Maharashtra,India&appid=fcb46ca9c388ddcaf1ed48e804525f52&units=metric",Error,Error,Error,Error,2025-03-31
Delhi,Delhi,"Error: 401 Client Error: Unauthorized for url: https://api.openweathermap.org/data/2.5/weather?q=Delhi,Delhi,India&appid=fcb46ca9c388ddcaf1ed48e804525f52&units=metric",Error,Error,Error,Error,2025-03-31
Kolkata,West Bengal,"Error: 401 Client Error: Unauthorized for url: https://api.openweathermap.org/data/2.5/weather?q=Kolkata,West%20Bengal,India&appid=fcb46ca9c388ddcaf1ed48e804525f52&units=metric",Error,Error,Error,Error,2025-03-31
Chennai,Tamil Nadu,"Error: 401 Client Error: Unauthorized for url: https://api.openweathermap.org/data/2.5/weather?q=Chennai,Tamil%20Nadu,India&appid=fcb46ca9c388ddcaf1ed48e804525f52&units=metric",Error,Error,Error,Error,2025-03-31
Hyderabad,Telangana,"Error: 401 Client Error: Unauthorized for url: https://api.openweathermap.org/data/2.5/weather?q=Hyderabad,Telangana,India&appid=fcb46ca9c388ddcaf1ed48e804525f52&units=metric",Error,Error,Error,Error,2025-03-31
Ahmedabad,Gujarat,"Error: 401 Client Error: Unauthorized for url: https://api.openweathermap.org/data/2.5/weather?q=Ahmedabad,Gujarat,India&appid=fcb46ca9c388ddcaf1ed48e804525f52&units=metric",Error,Error,Error,Error,2025-03-31
Guwahati,Assam,"Error: 401 Client Error: Unauthorized for url: https://api.openweathermap.org/data/2.5/weather?q=Guwahati,Assam,India&appid=fcb46ca9c388ddcaf1ed48e804525f52&units=metric",Error,Error,Error,Error,2025-03-31
Lucknow,Uttar Pradesh,"Error: 401 Client Error: Unauthorized for url: https://api.openweathermap.org/data/2.5/weather?q=Lucknow,Uttar%20Pradesh,India&appid=fcb46ca9c388ddcaf1ed48e804525f52&units=metric",Error,Error,Error,Error,2025-03-31
Jaipur,Rajasthan,"Error: 401 Client Error: Unauthorized for url: https://api.openweathermap.org/data/2.5/weather?q=Jaipur,Rajasthan,India&appid=fcb46ca9c388ddcaf1ed48e804525f52&units=metric",Error,Error,Error,Error,2025-03-31
Visakhapatnam,Andhra Pradesh,"Error: 401 Client Error: Unauthorized for url: https://api.openweathermap.org/data/2.5/weather?q=Visakhapatnam,Andhra%20Pradesh,India&appid=fcb46ca9c388ddcaf1ed48e804525f52&units=metric",Error,Error,Error,Error,2025-03-31
Dharamsala,Himachal Pradesh,"Error: 401 Client Error: Unauthorized for url: https://api.openweathermap.org/data/2.5/weather?q=Dharamsala,Himachal%20Pradesh,India&appid=fcb46ca9c388ddcaf1ed48e804525f52&units=metric",Error,Error,Error,Error,2025-03-31
Mohali,Punjab,"Error: 401 Client Error: Unauthorized for url: https://api.openweathermap.org/data/2.5/weather?q=Mohali,Punjab,India&appid=fcb46ca9c388ddcaf1ed48e804525f52&units=metric",Error,Error,Error,Error,2025-03-31
